"","Date","Versus","Ground","D.N","Runs","B.F","S.R","Aggr","Avg","avg_SR","dismissal","home_away","venue_country"
"1",2004-12-23,"Bangladesh","MA Aziz Stadium","No",0,1,0,0,0,0,"run out","away","Bangladesh"
"2",2004-12-26,"Bangladesh","Bangabandhu National Stadium","Yes",12,11,109.09,12,6,100,"caught out","away","Bangladesh"
"3",2004-12-27,"Bangladesh","Bangabandhu National Stadium","Yes",7,2,350,19,9.5,135.71,"not out","away","Bangladesh"
"4",2005-04-02,"Pakistan","Nehru Stadium (Kochi)","No",3,7,42.86,22,7.33,104.76,"caught out","home","India"
"5",2005-04-05,"Pakistan","Dr YS Rajasekhara Reddy Cricket Stadium","No",148,123,120.33,170,42.5,118.06,"caught out","home","India"
"6",2005-04-09,"Pakistan","Keenan Stadium","No",28,24,116.67,198,39.6,117.86,"caught out","home","India"
"7",2005-04-12,"Pakistan","Sardar Patel Stadium","No",47,64,73.44,245,40.83,105.6,"caught out","home","India"
"8",2005-04-15,"Pakistan","Green Park","No",11,16,68.75,256,36.57,103.23,"caught out","home","India"
"9",2005-04-17,"Pakistan","Arun Jaitley Stadium","No",24,38,63.16,280,35,97.9,"caught out","home","India"
"10",2005-07-30,"Sri Lanka","Rangiri Dambulla International Stadium","Yes",2,7,28.57,282,31.33,96.25,"bowled out","away","Sri Lanka"
"11",2005-07-31,"West Indies","Rangiri Dambulla International Stadium","Yes",15,11,136.36,297,33,97.7,"not out","away","Sri Lanka"
"12",2005-08-03,"Sri Lanka","Rangiri Dambulla International Stadium","Yes",20,27,74.07,317,31.7,95.77,"caught out","away","Sri Lanka"
"13",2005-08-07,"West Indies","R Premadasa Stadium","Yes",28,13,215.38,345,34.5,100.29,"not out","away","Sri Lanka"
"14",2005-08-09,"Sri Lanka","R Premadasa Stadium","Yes",7,11,63.64,352,32,99.15,"leg by wicket","away","Sri Lanka"
"15",2005-08-26,"New Zealand","Queens Sports Club","No",2,5,40,354,29.5,98.33,"caught out","away","Zimbabwe"
"16",2005-08-29,"Zimbabwe","Harare Sports Club","No",56,46,121.74,410,31.54,100.99,"caught out","away","Zimbabwe"
"17",2005-09-02,"New Zealand","Harare Sports Club","No",37,27,137.04,447,34.38,103.23,"not out","away","Zimbabwe"
"18",2005-09-04,"Zimbabwe","Harare Sports Club","No",67,63,106.35,514,39.54,103.63,"not out","away","Zimbabwe"
"19",2005-09-06,"New Zealand","Harare Sports Club","No",11,16,68.75,525,37.5,102.54,"leg by wicket","away","Zimbabwe"
"20",2005-10-25,"Sri Lanka","Vidarbha Cricket Association Ground","No",38,28,135.71,563,37.53,104.26,"caught out","home","India"
"21",2005-10-28,"Sri Lanka","Punjab Cricket Association IS Bindra Stadium","Yes",NA,NA,NA,563,37.53,104.26,"did not bat","home","India"
"22",2005-10-31,"Sri Lanka","Sawai Mansingh Stadium","No",183,145,126.21,746,49.73,108.91,"not out","home","India"
"23",2005-11-03,"Sri Lanka","Nehru Stadium (Pune)","No",45,43,104.65,791,52.73,108.65,"not out","home","India"
"24",2005-11-06,"Sri Lanka","Sardar Patel Stadium","No",0,1,0,791,49.44,108.5,"leg by wicket","home","India"
"25",2005-11-09,"Sri Lanka","Madhavrao Scindia Cricket Ground","No",NA,NA,NA,791,49.44,108.5,"did not bat","home","India"
"26",2005-11-12,"Sri Lanka","Reliance Stadium","No",80,73,109.59,871,51.24,108.6,"caught out","home","India"
